building_id,forecast_2009_04_06T00_00_00day,forecast_2009_04_06T01_32_41day,forecast_2009_04_06T02_37_05day,forecast_2009_04_06T23_15_37day,forecast_2009_04_07T09_26_29day,forecast_2009_04_07T17_47_38day,forecast_2009_04_09T00_53_00day,forecast_2009_04_09T19_38_17day,forecast_2009_04_13T00_00_00day,forecast_2009_04_13T21_14_25day
shm_Budva,937.9522521422208,440285.2397779882,495786.7460479656,534000.6759969591,519315.3890712851,512795.9595762203,481146.8562695209,443250.6249810659,416780.6592118844,421511.3396959726
shm_Grenoble,5269.398954324309,20461697.09952817,21431141.94717825,21470326.83514173,21456025.92688576,21451231.24489856,21517551.688462038,21481400.323304072,21453473.230339512,21457734.95947943
shm_Swiss,584.7181274489346,726838.9380218165,739171.9536502765,743978.5597931368,802552.3832507036,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0
tile_1,4015.459676571933,2066655.092992706,2225383.816960725,2263281.182861968,2341404.6038172026,2402367.077610026,2412417.5456574988,2415230.519380167,2414584.9118526564,2416348.41062215
tile_2,19971.273906135182,9914078.533234376,11086762.794670643,11400524.474947505,12158686.938681046,12710960.457924798,12798201.24942688,12824888.986932768,12819875.55731648,12836434.410503356
tile_3,154.9202604940557,249523.24767601065,260947.6503457073,264050.37307439843,277022.2264552155,305876.6243099498,306377.0030813912,304370.6937098912,302885.652494129,303319.26150190696
tile_4,1339.9743053100797,1740851.2342288254,1845634.4032975333,1877413.155391961,2003098.0531810091,2262159.1861441936,2284571.802501216,2281298.5110867354,2271431.8964725747,2279607.9798639705
tile_5,6808.451821550993,5260513.242955052,5692828.694829854,5805437.990685764,6201794.136264093,6795159.000770049,6839033.44041522,6828455.548947604,6810207.163092674,6820552.0477342205
tile_6,6991.562327658291,5204055.7212811615,5943745.622108017,6137341.220957329,6886169.963205311,7799742.958137663,7944825.113785039,7973434.323292426,7956208.880032852,7980366.460855022
tile_7,6282.561231799456,7411377.836319118,7908878.358011451,8041244.829467087,8707148.178118631,10027237.977395518,10138942.812404308,10114985.675487306,10070206.84411681,10094969.77641906
tile_8,5501.341698506369,3049378.746676045,3342751.3723489614,3417323.959791446,3593437.577686829,3775289.189822913,3794524.260347744,3795822.754427949,3791056.893060449,3796224.713962881
tile_9,14890.792085267598,7964642.777705104,8918400.409584658,9170441.1688856,9843008.24233568,10403166.093510866,10485969.096866025,10506519.152368588,10499163.012279583,10514233.181468356
